Guid	Url	Answer	ExtractAnnotation	TargetVariableJson	AnswerJson	ConditionsJson
a90e51e2-6ddd-11ea-a0a4-ccda262736ce	https://socratic.org/questions/a-student-observes-that-36-76-ml-of-1-013-m-naoh-are-required-to-neutralize-a-12	6.09 M	start physical_unit 20 21 concentration mol/l qc_end physical_unit 18 18 4 5 volume qc_end physical_unit 9 9 7 8 concentration qc_end physical_unit 18 18 15 16 volume qc_end end	[{"type":"physical unit","value":"Concentration [OF] sulfuric acid sample [IN] M"}]	[{"type":"physical unit","value":"6.09 M"}]	[{"type":"physical unit","value":"Volume [OF] NaOH solution [=] \\pu{36.76 mL}"},{"type":"physical unit","value":"Concentration [OF] NaOH solution [=] \\pu{1.013 M}"},{"type":"physical unit","value":"Volume [OF] sulfuric acid aqueous solution [=] \\pu{12.23 mL}"}]
a87f6d68-6ddd-11ea-8ade-ccda262736ce	https://socratic.org/questions/find-the-mass-of-urea-ch4n2o-needed-to-prepare-49-0-g-of-a-solution-in-water-in-	1.05 × 10^1 g	start physical_unit 5 5 mass g qc_end physical_unit 13 15 9 10 mass qc_end physical_unit 5 5 24 26 mole_fraction qc_end end	[{"type":"physical unit","value":"Mass [OF] CO(NH2)2 [IN] g"}]	[{"type":"physical unit","value":"1.05 × 10^1 g"}]	[{"type":"physical unit","value":"Mass [OF] the solution in water [=] \\pu{49.0 g}"},{"type":"physical unit","value":"Mole fraction [OF] CO(NH2)2 [=] \\pu{7.58 × 10^(−2)}"}]
a9b919a3-6ddd-11ea-ae01-ccda262736ce	https://socratic.org/questions/what-is-the-chemical-formula-for-blue-vitriol-whose-systematic-name-is-copper-ii	CuSO4.5H2O	start chemical_formula qc_end substance 12 13 qc_end end	[{"type":"other","value":"Chemical Formula [OF] blue vitriol [IN] default"}]	[{"type":"chemical equation","value":"CuSO4.5H2O"}]	[{"type":"substance name","value":"Copper(II) sulfate"}]
a94394a8-6ddd-11ea-9b79-ccda262736ce	https://socratic.org/questions/2nh-3-aq-h-2so-4-aq-nh-4-2so-4-aq-how-many-grams-of-ammonium-sulfate-can-be-prod	7962 grams	start physical_unit 10 11 mass g qc_end chemical_equation 0 5 qc_end physical_unit 19 20 16 17 mole qc_end c_other OTHER qc_end end	[{"type":"physical unit","value":"Mass [OF] ammonium sulfate [IN] grams"}]	[{"type":"physical unit","value":"7962 grams"}]	[{"type":"chemical equation","value":"2 NH3(aq) + H2SO4(aq) -> (NH4)2SO4(aq)"},{"type":"physical unit","value":"Mole [OF] sulfuric acid [=] \\pu{60.0 mol}"},{"type":"other","value":"Excess of ammonia."}]
aa868fb0-6ddd-11ea-84bc-ccda262736ce	https://socratic.org/questions/what-is-the-empirical-formula-of-vanillin	C8H8O3	start chemical_formula qc_end substance 6 6 qc_end end	[{"type":"other","value":"Chemical Formula [OF] Vanillin [IN] empirical"}]	[{"type":"chemical equation","value":"C8H8O3"}]	[{"type":"substance name","value":"Vanillin"}]
a93cde06-6ddd-11ea-8501-ccda262736ce	https://socratic.org/questions/the-concentration-of-aqueous-methanol-is-10-of-it-s-mass-what-is-the-molar-fract	0.05	start physical_unit 4 4 molar_ratio none qc_end physical_unit 3 4 6 6 concentration qc_end end	[{"type":"physical unit","value":"Molar fraction [OF] methanol"}]	[{"type":"physical unit","value":"0.05"}]	[{"type":"physical unit","value":"Concentration [OF] aqueous methanol [=] \\pu{10%}"}]
aa2012ec-6ddd-11ea-a513-ccda262736ce	https://socratic.org/questions/how-would-you-balance-the-following-equation-fe-o2-fe2o3-1	4 Fe + 3 O2 -> 2 Fe2O3	start chemical_equation qc_end chemical_equation 7 11 qc_end end	[{"type":"other","value":"Chemical Equation [OF] the equation"}]	[{"type":"chemical equation","value":"4 Fe + 3 O2 -> 2 Fe2O3"}]	[{"type":"chemical equation","value":"Fe + O2 -> Fe2O3"}]
a9f6698a-6ddd-11ea-9ac8-ccda262736ce	https://socratic.org/questions/what-is-the-the-volume-occupied-by-2-34-g-of-carbon-dioxide-gas-at-stp	1.18 L	start physical_unit 10 12 volume l qc_end physical_unit 10 12 7 8 mass qc_end c_other STP qc_end end	[{"type":"physical unit","value":"Volume [OF] carbon dioxide gas [IN] L"}]	[{"type":"physical unit","value":"1.18 L"}]	[{"type":"physical unit","value":"Mass [OF] carbon dioxide gas [=] \\pu{2.34 g}"},{"type":"other","value":"STP"}]
a9a31340-6ddd-11ea-afed-ccda262736ce	https://socratic.org/questions/how-do-you-write-a-equation-for-aluminum-copper-ll-sulfate-copper-aluminum-sulfa	2 Al(s) + 3 CuSO4(aq) -> Al2(SO4)3(aq) + 3 Cu(s)	start chemical_equation qc_end chemical_equation 7 16 qc_end end	[{"type":"other","value":"Chemical Equation [OF] the equation"}]	[{"type":"chemical equation","value":"2 Al(s) + 3 CuSO4(aq) -> Al2(SO4)3(aq) + 3 Cu(s)"}]	[{"type":"chemical equation","value":"Aluminum + copper (ll) sulfate -> copper + aluminum sulfate"}]
a8df89a9-6ddd-11ea-acf5-ccda262736ce	https://socratic.org/questions/how-do-you-balance-zn-oh-2-ch-3cooh-zn-ch-3coo-2-h-2o	Zn(OH)2 + 2 CH3COOH -> ZN(CH3COO)2 + 2 H2O	start chemical_equation qc_end chemical_equation 4 10 qc_end end	[{"type":"other","value":"Chemical Equation [OF] the equation"}]	[{"type":"chemical equation","value":"Zn(OH)2 + 2 CH3COOH -> ZN(CH3COO)2 + 2 H2O"}]	[{"type":"chemical equation","value":"Zn(OH)2 + CH3COOH -> ZN(CH3COO)2 + H2O"}]
a903f2e4-6ddd-11ea-8e8d-ccda262736ce	https://socratic.org/questions/a-balloon-has-a-volume-of-253-2-l-at-356-k-the-volume-of-the-balloon-is-decrease	232.55 K	start physical_unit 14 15 temperature k qc_end physical_unit 14 15 6 7 volume qc_end physical_unit 14 15 9 10 temperature qc_end physical_unit 14 15 19 20 volume qc_end end	[{"type":"physical unit","value":"Temperature2 [OF] the balloon [IN] K"}]	[{"type":"physical unit","value":"232.55 K"}]	[{"type":"physical unit","value":"Volume1 [OF] the balloon [=] \\pu{253.2 L}"},{"type":"physical unit","value":"Temperature1 [OF] the balloon [=] \\pu{356 K}"},{"type":"physical unit","value":"Volume2 [OF] the balloon [=] \\pu{165.4 L}"}]
a8616c0c-6ddd-11ea-9209-ccda262736ce	https://socratic.org/questions/how-much-energy-is-required-to-raise-the-temperature-of-3-g-of-silver-from-15-c-	3.53 J	start physical_unit 13 13 energy j qc_end physical_unit 13 13 15 16 temperature qc_end physical_unit 13 13 18 19 temperature qc_end physical_unit 13 13 10 11 mass qc_end end	[{"type":"physical unit","value":"Required energy [OF] silver [IN] J"}]	[{"type":"physical unit","value":"3.53 J"}]	[{"type":"physical unit","value":"Temperature1 [OF] silver [=] \\pu{15 ℃}"},{"type":"physical unit","value":"Temperature2 [OF] silver [=] \\pu{20 ℃}"},{"type":"physical unit","value":"Mass [OF] silver [=] \\pu{3 g}"}]
ab089734-6ddd-11ea-8fab-ccda262736ce	https://socratic.org/questions/57e6d379b72cff057fce3624	C10H12NO	start chemical_formula qc_end substance 15 15 qc_end end	[{"type":"other","value":"Chemical Formula [OF] the organic compound [IN] empirical"}]	[{"type":"chemical equation","value":"C10H12NO"}]	[{"type":"physical unit","value":"Percentage [OF] C in organic compound [=] \\pu{74.0%}"},{"type":"physical unit","value":"Percentage [OF] H in organic compound [=] \\pu{7.4%}"},{"type":"physical unit","value":"Percentage [OF] N in organic compound [=] \\pu{8.6%}"},{"type":"substance name","value":"Oxygen"}]
a9922389-6ddd-11ea-9682-ccda262736ce	https://socratic.org/questions/analysis-of-a-compound-shows-that-it-contains-7-0-g-nitrogen-and-16-0-g-oxygen-w	NO2	start chemical_formula qc_end physical_unit 10 10 8 9 mass qc_end physical_unit 14 14 12 13 mass qc_end end	[{"type":"other","value":"Chemical Formula [OF] the compound [IN] empirical"}]	[{"type":"chemical equation","value":"NO2"}]	[{"type":"physical unit","value":"Mass [OF] nitrogen [=] \\pu{7.0 g}"},{"type":"physical unit","value":"Mass [OF] oxygen [=] \\pu{16.0 g}"}]
a9d6509c-6ddd-11ea-b361-ccda262736ce	https://socratic.org/questions/how-would-you-balance-the-following-equation-na2co3-bacl2-nacl-baco3	Na2CO3 + BaCl2 -> 2 NaCl + BaCO3	start chemical_equation qc_end chemical_equation 7 13 qc_end end	[{"type":"other","value":"Chemical Equation [OF] the equation"}]	[{"type":"chemical equation","value":"Na2CO3 + BaCl2 -> 2 NaCl + BaCO3"}]	[{"type":"chemical equation","value":"Na2CO3 + BaCl2 -> NaCl + BaCO3"}]
aab4ec2c-6ddd-11ea-bac5-ccda262736ce	https://socratic.org/questions/a-sample-of-neon-has-a-volume-of-75-8-at-stp-how-many-moles-are-present	3.38 moles	start physical_unit 1 3 mole mol qc_end physical_unit 1 3 8 9 volume qc_end c_other STP qc_end end	[{"type":"physical unit","value":"Mole [OF] neon sample [IN] moles"}]	[{"type":"physical unit","value":"3.38 moles"}]	[{"type":"physical unit","value":"Volume [OF] neon sample [=] \\pu{75.8 L}"},{"type":"other","value":"STP"}]
aa588338-6ddd-11ea-9bb5-ccda262736ce	https://socratic.org/questions/a-gas-expands-from-35-ml-to-70ml-if-the-temperature-was-at-22-celsius-what-will-	317 celsius	start physical_unit 1 1 temperature °c qc_end physical_unit 1 1 14 15 temperature qc_end physical_unit 1 1 4 5 volume qc_end physical_unit 1 1 7 8 volume qc_end end	[{"type":"physical unit","value":"Temperature2 [OF] the gas [IN] celsius"}]	[{"type":"physical unit","value":"317 celsius"}]	[{"type":"physical unit","value":"Temperature1 [OF] the gas [=] \\pu{22 celsius}"},{"type":"physical unit","value":"Volume1 [OF] the gas [=] \\pu{35 ml}"},{"type":"physical unit","value":"Volume2 [OF] the gas [=] \\pu{70 ml}"}]
ac4cbd0a-6ddd-11ea-8f4c-ccda262736ce	https://socratic.org/questions/a-quantity-of-n-2-gas-originally-held-at-4-75-am-in-a-1-00l-container-at-26-c-is	0.47 atm	start physical_unit 3 4 pressure atm qc_end physical_unit 3 4 8 9 pressure qc_end physical_unit 3 4 12 13 volume qc_end physical_unit 3 4 16 17 temperature qc_end physical_unit 3 4 22 23 volume qc_end physical_unit 3 4 26 27 temperature qc_end end	[{"type":"physical unit","value":"Pressure2 [OF] N2 gas [IN] atm"}]	[{"type":"physical unit","value":"0.47 atm"}]	[{"type":"physical unit","value":"Pressure1 [OF] N2 gas [=] \\pu{4.75 atm}"},{"type":"physical unit","value":"Volume1 [OF] N2 gas [=] \\pu{1.00 L}"},{"type":"physical unit","value":"Temperature1 [OF] N2 gas [=] \\pu{26 ℃}"},{"type":"physical unit","value":"Volume2 [OF] N2 gas [=] \\pu{10.0 L}"},{"type":"physical unit","value":"Temperature2 [OF] N2 gas [=] \\pu{20 ℃}"}]
ab2605b8-6ddd-11ea-8617-ccda262736ce	https://socratic.org/questions/what-mass-is-a-sample-of-oxygen-gas-that-contains-avogadro-s-number-of-atoms	16.00 g	start physical_unit 4 7 mass g qc_end c_other OTHER qc_end end	[{"type":"physical unit","value":"Mass [OF] oxygen gas sample [IN] g"}]	[{"type":"physical unit","value":"16.00 g"}]	[{"type":"other","value":"Sample of oxygen gas that contains Avogadro's number of atoms."}]
ac2fcb66-6ddd-11ea-bcfe-ccda262736ce	https://socratic.org/questions/given-that-the-molar-mass-of-nacl-58-44-g-mol-what-is-the-molarity-of-a-solution	3.00 M	start physical_unit 6 6 molarity mol/l qc_end physical_unit 6 6 7 8 molar_mass qc_end physical_unit 6 6 18 19 mass qc_end physical_unit 15 15 23 24 volume qc_end end	[{"type":"physical unit","value":"Molarity [OF] NaCl solution [IN] M"}]	[{"type":"physical unit","value":"3.00 M"}]	[{"type":"physical unit","value":"Molar mass [OF] NaCl [=] \\pu{58.44 g/mol}"},{"type":"physical unit","value":"Mass [OF] NaCl [=] \\pu{87.75 g }"},{"type":"physical unit","value":"Volume [OF] NaCl solution [=] \\pu{500 mL}"}]
ac4640d4-6ddd-11ea-ae73-ccda262736ce	https://socratic.org/questions/given-the-balanced-equation-lioh-kcl-licl-koh-what-is-the-theoretical-yield-of-l	35.4 g	start physical_unit 17 18 theoretical_yield g qc_end chemical_equation 4 10 qc_end physical_unit 28 29 25 26 mass qc_end end	[{"type":"physical unit","value":"Theoretical yield [OF] lithium chloride [IN] g"}]	[{"type":"physical unit","value":"35.4 g"}]	[{"type":"chemical equation","value":"LiOH + KCl -> LiCl + KOH"},{"type":"physical unit","value":"Mass [OF] lithium hydroxide [=] \\pu{20.0 grams}"}]
acde2e29-6ddd-11ea-9092-ccda262736ce	https://socratic.org/questions/58cab7ce11ef6b67966920c2	3.01 × 10^23	start physical_unit 3 4 number none qc_end physical_unit 13 14 9 10 mass qc_end end	[{"type":"physical unit","value":"Number [OF] magnesium ATOMS"}]	[{"type":"physical unit","value":"3.01 × 10^23"}]	[{"type":"physical unit","value":"Mass [OF] the metal [=] \\pu{12 g}"}]
ac056fe2-6ddd-11ea-a8ed-ccda262736ce	https://socratic.org/questions/58d3be23b72cff5c2be2b467	70.73 L	start physical_unit 11 12 volume l qc_end physical_unit 11 12 7 8 mass qc_end physical_unit 11 12 14 15 temperature qc_end physical_unit 11 12 24 25 pressure qc_end end	[{"type":"physical unit","value":"Volume [OF] carbon dioxide [IN] L"}]	[{"type":"physical unit","value":"70.73 L"}]	[{"type":"physical unit","value":"Mass [OF] carbon dioxide [=] \\pu{74.3 g}"},{"type":"physical unit","value":"Temperature [OF] carbon dioxide [=] \\pu{294 K}"},{"type":"physical unit","value":"Pressure [OF] carbon dioxide [=] \\pu{439 mmHg}"}]
a8e4e0db-6ddd-11ea-9851-ccda262736ce	https://socratic.org/questions/what-is-the-percent-composition-by-mass-of-oxygen-in-magnesium-oxide	39.70%	start physical_unit 8 11 mass_percent none qc_end substance 10 11 qc_end end	[{"type":"physical unit","value":"Percent composition by mass [OF] oxygen in magnesium oxide"}]	[{"type":"physical unit","value":"39.70%"}]	[{"type":"substance name","value":"Magnesium oxide"}]
acfb2ab7-6ddd-11ea-923a-ccda262736ce	https://socratic.org/questions/a-gas-cylinder-with-a-volume-of-3-00-dm-3-contains-8-00-moles-of-oxygen-gas-at-a	11 atm	start physical_unit 13 14 pressure atm qc_end physical_unit 13 14 7 8 volume qc_end physical_unit 13 14 10 11 mole qc_end physical_unit 13 14 19 20 temperature qc_end end	[{"type":"physical unit","value":"Pressure [OF] oxygen gas [IN] atm"}]	[{"type":"physical unit","value":"11 atm"}]	[{"type":"physical unit","value":"Volume [OF] oxygen gas [=] \\pu{3.00 dm^3}"},{"type":"physical unit","value":"Mole [OF] oxygen gas [=] \\pu{8.00 moles}"},{"type":"physical unit","value":"Temperature [OF] oxygen gas [=] \\pu{50.0 K}"}]
a872095b-6ddd-11ea-a835-ccda262736ce	https://socratic.org/questions/using-graham-s-law-of-effusion-if-co2-takes-32sec-to-effuse-how-long-will-the-hy-1	7.71 sec	start physical_unit 15 15 time s qc_end physical_unit 6 6 8 9 time qc_end c_other OTHER qc_end end	[{"type":"physical unit","value":"take time [OF] hydrogen [IN] sec"}]	[{"type":"physical unit","value":"7.71 sec"}]	[{"type":"physical unit","value":"effused time [OF] CO2 [=] \\pu{32 sec}"},{"type":"other","value":"Graham's law of effusion"}]
aada3818-6ddd-11ea-8192-ccda262736ce	https://socratic.org/questions/what-is-the-molarity-of-a-solution-made-of-2-5-moles-of-kno-3-in-5-l-of-water	0.50 M	start physical_unit 6 6 molarity mol/l qc_end physical_unit 12 12 9 10 mole qc_end physical_unit 17 17 14 15 volume qc_end end	[{"type":"physical unit","value":"Molarity [OF] the solution [IN] M"}]	[{"type":"physical unit","value":"0.50 M"}]	[{"type":"physical unit","value":"Mole [OF] KNO3 [=] \\pu{2.5 moles}"},{"type":"physical unit","value":"Volume [OF] water [=] \\pu{5 L}"}]
ac4565c0-6ddd-11ea-87ae-ccda262736ce	https://socratic.org/questions/how-many-moles-of-argon-are-in-452-g-of-argon	13.31 moles	start physical_unit 4 4 mole mol qc_end physical_unit 4 4 7 8 mass qc_end end	[{"type":"physical unit","value":"Mole [OF] argon [IN] moles"}]	[{"type":"physical unit","value":"13.31 moles"}]	[{"type":"physical unit","value":"Mass [OF] argon [=] \\pu{452 g}"}]
a8e2c0b4-6ddd-11ea-bd5e-ccda262736ce	https://socratic.org/questions/how-much-heat-must-be-removed-to-freeze-a-tray-of-ice-cubes-at-0c-the-mass-of-th	18 kcal	start physical_unit 11 12 heat_energy kcal qc_end physical_unit 11 12 14 15 temperature qc_end physical_unit 20 20 22 23 mass qc_end end	[{"type":"physical unit","value":"Removed heat [OF] ice cubes [IN] kcal"}]	[{"type":"physical unit","value":"18 kcal"}]	[{"type":"physical unit","value":"Temperature [OF] ice cubes [=] \\pu{0 ℃}"},{"type":"physical unit","value":"Mass [OF] water [=] \\pu{225 g}"},{"type":"physical unit","value":"Tray number [OF] ice cubes [=] \\pu{1}"}]
aa4eb08a-6ddd-11ea-83ba-ccda262736ce	https://socratic.org/questions/diphosphorus-pentaoxide-reacts-with-water-to-produce-phosphoric-acid-h-3po-4-how	P4O10(s) + 6 H2O(l) -> 4 H3PO4(aq)	start chemical_equation qc_end substance 0 1 qc_end substance 4 4 qc_end chemical_equation 10 10 qc_end end	[{"type":"other","value":"Chemical Equation [OF] this reaction"}]	[{"type":"chemical equation","value":"P4O10(s) + 6 H2O(l) -> 4 H3PO4(aq)"}]	[{"type":"substance name","value":"Diphosphorus pentoxide"},{"type":"substance name","value":"Water"},{"type":"chemical equation","value":"H3PO4"}]
a9cd71f8-6ddd-11ea-b23c-ccda262736ce	https://socratic.org/questions/what-is-the-ph-of-1-2-10-3-hbr-solution	2.92	start physical_unit 9 10 ph none qc_end physical_unit 9 10 5 8 molarity qc_end end	[{"type":"physical unit","value":"pH [OF] HBr solution"}]	[{"type":"physical unit","value":"2.92"}]	[{"type":"physical unit","value":"Molarity [OF] HBr solution [=] \\pu{1.2 × 10^(-3) M}"}]
ab4d69c2-6ddd-11ea-bc6a-ccda262736ce	https://socratic.org/questions/what-is-the-mass-of-water-produced-when-9-33-g-of-butane-reacts-with-excess-oxyg	14.50 g	start physical_unit 5 5 mass g qc_end physical_unit 11 11 8 9 mass qc_end c_other OTHER qc_end end	[{"type":"physical unit","value":"Mass [OF] water [IN] g"}]	[{"type":"physical unit","value":"14.50 g"}]	[{"type":"physical unit","value":"Mass [OF] butane [=] \\pu{9.33 g}"},{"type":"other","value":"Excess oxygen."}]
aa9f9388-6ddd-11ea-aa80-ccda262736ce	https://socratic.org/questions/how-many-carbon-dioxide-molecules-are-needed-to-make-a-single-glucose-molecule	6	start physical_unit 2 4 number none qc_end end	[{"type":"physical unit","value":"Number [OF] carbon dioxide molecules"}]	[{"type":"physical unit","value":"6"}]	[{"type":"physical unit","value":"Number [OF] glucose molecule [=] \\pu{1}"}]
ace02b36-6ddd-11ea-8e90-ccda262736ce	https://socratic.org/questions/what-is-the-mole-ratio-of-fe-3o-4-to-fe-in-the-equation-3fe-4h-2o-fe-3o-4-4h-2	1:3	start physical_unit 6 8 mole_fraction none qc_end chemical_equation 12 21 qc_end end	[{"type":"physical unit","value":"Mole ratio [OF] Fe3O4 to Fe"}]	[{"type":"physical unit","value":"1:3"}]	[{"type":"chemical equation","value":"3 Fe + 4 H2O -> Fe3O4 + 4 H2"}]
a8f0eb2c-6ddd-11ea-ac83-ccda262736ce	https://socratic.org/questions/what-is-the-ph-of-a-0-150-m-naoh-solution	13.18	start physical_unit 8 9 ph none qc_end physical_unit 8 9 6 7 molarity qc_end end	[{"type":"physical unit","value":"pH [OF] NaOH solution"}]	[{"type":"physical unit","value":"13.18"}]	[{"type":"physical unit","value":"Molarity [OF] NaOH solution [=] \\pu{0.150 M}"}]
abe1e5dc-6ddd-11ea-9fab-ccda262736ce	https://socratic.org/questions/how-many-moles-are-in-3-70-10-1-g-of-boron	0.03 moles	start physical_unit 10 10 mole mol qc_end physical_unit 10 10 5 8 mass qc_end end	[{"type":"physical unit","value":"Mole [OF] boron [IN] moles"}]	[{"type":"physical unit","value":"0.03 moles"}]	[{"type":"physical unit","value":"Mass [OF] boron [=] \\pu{3.70 × 10^(-1) g}"}]
abef1bf2-6ddd-11ea-aef3-ccda262736ce	https://socratic.org/questions/if-it-takes-41-72-joules-to-heat-a-piece-of-gold-weighing-18-69-g-from-10-0-c-to	0.13 J/(g * ℃)	start physical_unit 26 27 specific_heat j/(°c_·_g) qc_end physical_unit 26 27 3 4 heat_energy qc_end physical_unit 26 27 12 13 mass qc_end physical_unit 26 27 15 16 temperature qc_end physical_unit 26 27 18 19 temperature qc_end end	[{"type":"physical unit","value":"Specific heat [OF] the gold [IN] J/(g * ℃)"}]	[{"type":"physical unit","value":"0.13 J/(g * ℃)"}]	[{"type":"physical unit","value":"Taken energy [OF] the gold [=] \\pu{41.72 joules}"},{"type":"physical unit","value":"Weight [OF] the gold [=] \\pu{18.69 g}"},{"type":"physical unit","value":"Temperature1 [OF] the gold [=] \\pu{10.0 ℃}"},{"type":"physical unit","value":"Temperature2 [OF] the gold [=] \\pu{27.0 ℃}"}]
ad118c5e-6ddd-11ea-ac64-ccda262736ce	https://socratic.org/questions/595c0fb47c014916d2f5f5d3	1.51 ppm	start physical_unit 14 15 concentration ppm qc_end physical_unit 2 2 4 6 equilibrium_constant_k qc_end end	[{"type":"physical unit","value":"Concentration [OF] ZnCO3 saturated solution [IN] ppm"}]	[{"type":"physical unit","value":"1.51 ppm"}]	[{"type":"physical unit","value":"Ksp [OF] ZnCO3 [=] \\pu{1.46 × 10^(-10)}"}]
ac6f52ca-6ddd-11ea-8a88-ccda262736ce	https://socratic.org/questions/given-the-reaction-2c3h7oh-9o2-co2-8h2o-how-many-moles-of-oxygen-are-needed-to-r	15.30 moles	start physical_unit 17 17 mole mol qc_end chemical_equation 3 12 qc_end physical_unit 4 4 23 24 mole qc_end end	[{"type":"physical unit","value":"Mole [OF] oxygen [IN] moles"}]	[{"type":"physical unit","value":"15.30 moles"}]	[{"type":"physical unit","value":"Mole [OF] C3H7OH [=] \\pu{3.40 mol}"},{"type":"chemical equation","value":"2 C3H7OH + 9 O2 -> CO2 + 8 H2O"}]
